com_code,course_code,course_name,instructors,hits
1895,"EEE F477","MODELING OF FIELD-EFFECT NANO  DEVICES","SAYAN KANUNGO",0
1901,"EEE F478","POWER SYSTEMS LAB","ALIVELU MANGA PARIMI,P Shambhu Prasad,Renuka Loka,Alivelu Manga Parimi,P Shambhu Prasad,Renuka Loka",0
96,"EEE G592","MOBILE & PERSONAL COMMUNICATION","AMIT RANJAN AZAD,Amit Ranjan Azad,T Sachin Ravikant",0
80,"EEE G622","ADVANCED DIGITAL COMMUNICATION","SUBHRADEEP PAL,Subhradeep Pal,V Sarath Sankar",0
1539,"FIN F311","DERIVATIVES & RISK MGMT","SHREYA BISWAS,Pratheeksha G",0
1545,"FIN F313","SECUR ANAL & PORTFOL MGT","SHREYA BISWAS,Nivedita Sinha",0
1542,"FIN F315","FINANCIAL MANAGEMENT","NIVEDITA SINHA,Tanaji Pavani Prabha",0
1942,"FIN F414","FINANCIAL RISK ANALYTICS AND MANAGEMENT","T NAGARAJU",0
1130,"GS F211","MODERN POLITICAL CONCEPTS","LAVANYA SURESH",0
1135,"GS F223","INTRO TO MASS COMM","SPANDAN BHATTACHARYA",0
1171,"GS F233","PUBLIC POLICY","BISWANATH DASH",0
1158,"GS F241","CREATIVE WRITING","ANHITI PATNAIK",0
1165,"GS F245","EFFECTIVE PUBLIC SPEAK","SANTOSH  MAHAPATRA",0
1174,"GS F312","APPLIED PHILOSOPHY","JAYESH A K",0
1177,"GS F333","PUBLIC ADMINISTRATION","LAVANYA SURESH",0
1603,"HSS F222","LINGUISTICS","PRANESH BHARGAVA",0
1903,"HSS F237","CONTEMPORARY INDIAN ENGLISH FICTION","MAYA VINAY",0
2308,"HSS F243","INTRODUCTION TO CRITICAL PEDAGOGY","SANTOSH  MAHAPATRA",0
2321,"HSS F246","PHILOSOPHY OF NAGARJUNA","JAYESH A K",0
1776,"HSS F266","STUDY PROJECT","PRANESH BHARGAVA",0
1643,"HSS F316","POP LITER & CULT OF S ASIA","MAYA VINAY",0
1599,"HSS F334","SRIMAD BHAGAVAD GITA","ARUNA LOLLA",0
1606,"HSS F337","ENGLISH LITERARY FORMS AND MOVEMENTS","MG PRASUNA",0
1607,"HSS F338","COMPARATIVE INDIAN LIT","MG PRASUNA",0
1832,"HSS F340","POST COLONIAL LITERATURE","VIJAY KUMAR TADAKAMAL",0
1834,"HSS F342","ADV COMMUNICATIVE ENG","PRANESH BHARGAVA",0
1626,"HSS F346","INTERNATIONAL RELATIONS","SUCHISMITA SATPATHY",0
2268,"HSS F361","URBAN POLICY AND GOVERNANCE","SUCHISMITA SATPATHY",0
2270,"HSS F363","DISASTER AND DEVELOPMENT","BISWANATH DASH",0
2272,"HSS F365","SCIENCE OF SUSTAINABLE HAPPINESS","ARUNA LOLLA",0
2290,"HSS F369","CASTE AND GENDER IN INDIA","SHILPAA ANAND",0
2500,"INSTR F216","ELECTRONIC DEVICE SIMULATION","SAYAN KANUNGO,Aditya Tiwari,Parikshit Parshuram Sahatiy",0
1341,"INSTR F241","MICROPROC & INTERFACING","PRASHANT WALI,Gopal Krishna Kamath M,Prashant Wali,Swapna Challagundla,Anil Kumar U,Gowtham Polumati,Harish Vijay Dixit,Swapna Challagundla,S K Sahoo,Mrunali Dnyaneshwar Wagh,Soumya J,TO BE ANNOUNCED,Soumya J,TO BE ANNOUNCED,Naveen Bokka,TO BE ANNOUNCED,Sourav Nandi,Battina Sindhu,Sourav Nandi,Battina Sindhu,Karumbaiah Chappanda Nan,Sarda Sharma,Karumbaiah Chappanda Nan,Sarda Sharma,Ramakant,Mrunali Dnyaneshwar Wagh,Ramakant,Gowtham Polumati,Anil Kumar U,Jayapiriya U S,TO BE ANNOUNCED,Kurakula Anudeep,Naveen Bokka,Kurakula Anudeep,Prashant Wali,Prashant Wali,Gopal Krishna Kamath M,Gopal Krishna Kamath M,Runa Kumari,Chetan Kumar V,Chetan Kumar V,Prashant Wali,Gopal Krishna Kamath M,Subhradeep Pal,Subhradeep Pal",0
1342,"INSTR F242","CONTROL SYSTEMS","PRATYUSH CHAKRABORT,Ankur Bhattacharjee,Alivelu Manga Parimi,Joyjit Mukherjee,Ankur Bhattacharjee,Ankur Bhattacharjee,Alivelu Manga Parimi,Manish Laxminarayan Bhaiy,Pratyush Chakraborty,Pratyush Chakraborty,Joyjit Mukherjee",0
1343,"INSTR F243","SIGNALS & SYSTEMS","RAMAKANT,BVVSN Prabhakar Rao,Ramakant,BVVSN Prabhakar Rao,BVVSN Prabhakar Rao,Venkateswaran R,Venkateswaran R,Amit Ranjan Azad,Amit Ranjan Azad",0
1344,"INSTR F244","MICROELECTRONIC CIRCUITS","SYED ERSHAD AHMED,Karumbaiah Chappanda Nan,Syed Ershad Ahmed,Syed Ershad Ahmed,Syed Ershad Ahmed,Karumbaiah Chappanda Nan,Karumbaiah Chappanda Nan,Surya Shankar Dan,Surya Shankar Dan",0
1660,"INSTR F266","STUDY PROJECT","STP SRINIVAS",0
1348,"INSTR F341","ANALOG ELECTRONICS","PRASANT KUMAR P,Amit Kumar Panda,Prasant Kumar P,TO BE ANNOUNCED,Prasant Kumar P,TO BE ANNOUNCED,Rajesh Kumar Tripathy,TO BE ANNOUNCED,Chaluvadi V Naga Bhaskar,Renuka.H,Joyjit Mukherjee,Chaluvadi V Naga Bhaskar,Joyjit Mukherjee,Prasant Kumar P,Prasant Kumar P,Amit Kumar Panda,Amit Kumar Panda,Rajesh Kumar Tripathy,Rajesh Kumar Tripathy,Rajesh Kumar Tripathy",0
1349,"INSTR F342","POWER ELECTRONICS","STP SRINIVAS,Sudha Radhika,Santhi Durganjali Challa,Sudha Radhika,Santhi Durganjali Challa,Sudha Radhika,Nawin Ra,STP Srinivas,Nawin Ra,STP Srinivas,STP Srinivas,Ankur Bhattacharjee,Ankur Bhattacharjee",0
1350,"INSTR F343","INDUS INSTRUMENT & CONT","PONNALAGU R N,Ponnalagu R N,Ponnalagu R N",0
1734,"INSTR F366","LABORATORY PROJECT","SUBHRADEEP PAL",0
1745,"INSTR F367","LABORATORY PROJECT","SUBHRADEEP PAL",0
1694,"INSTR F376","DESIGN PROJECT","KARUMBAIAH CHAPPANDA",0
1761,"INSTR F377","DESIGN PROJECT","KARUMBAIAH CHAPPANDA",0
1351,"INSTR F432","MEDICAL INSTRUMENTAITON","VENKATESWARAN R",0
1529,"IS F341","SOFTWARE ENGINEERING","NARASIMHA BOLLOJU,Narasimha Bolloju,Subhashree Barada",0
1012,"MATH F113","PROBABILITY AND STATISTICS","Sabyasachi Dey,Hirendra Kumar Garai",0
1123,"MATH F213","DISCRETE MATHEMATICS","PK SAHOO,Sajith P",0
1340,"MATH F231","NUMBER THEORY","NABIN KUMAR MEHER",0
1465,"MATH F241","MATHEMATICAL METHODS","JAGAN MOHAN J,Kshma Trivedi,Sushil Pathak",0
1466,"MATH F242","OPERATIONS RESEARCH","DK SATPATHI,Ashwini S,Tathe Kartik Vilasrao",0
1467,"MATH F243","GRAPHS AND NETWORKS","A MICHAEL ALPHONSE,Priyanka Vishwakarma,Sunil Rampuria",0
1468,"MATH F244","MEASURE & INTEGRATION","SHARAN GOPAL,Anshid Aboobacker,Purohit Nisarg Bharatbhai",0
1662,"MATH F266","STUDY PROJECT","SABYASACHI DEY",0
1475,"MATH F314","ALGEBRA-II","PRATYUSHA CHATTOPADH",0
1472,"MATH F341","INTRO TO FUNCTIONAL ANAL","JHUMA SEN GUPTA,Nakidi Shravani,Debarati Mondal",0
1473,"MATH F342","DIFFERENTIAL GEOMETRY","SUMIT KUMAR V,Sri Sakti Swarup Anupindi,G Vinodkumar Rajlingappa",0
1474,"MATH F343","PARTIAL DIFF EQUATIONS","G MURALI MOHAN REDDY,Sanjay Mandal,Sandhya Mel",0
1479,"MATH F353","STATISTICAL INFER & APP","FARIDA PARVEZ BARBHUI",0
1679,"MATH F366","LABORATORY PROJECT","NIRMAN GANGULY",0
1747,"MATH F367","LABORATORY PROJECT","NIRMAN GANGULY",0
1696,"MATH F376","DESIGN PROJECT","PRATYUSHA CHATTOPADH",0
1763,"MATH F377","DESIGN PROJECT","PRATYUSHA CHATTOPADH",0
1882,"MATH F420","MATHEMATICAL MODELLING","SANTANU KOLEY",0
1480,"MATH F421","COMBINATORIAL MATHEMATICS","DEBOPAM CHAKRABORTH",0
1921,"MATH F422","NUM MTHD FOR PARTIAL DIFF EQ","ANIL NEMILI",0
1880,"MATH F456","COSMOLOGY","B MISHRA",0
1476,"MATH F471","NONLINEAR OPTIMIZATION","K VENKATA RATNAM",0
2397,"ME F218","ADVANCED MECHANICS OF SOLIDS","BRAJESH KUMAR PANIGR,Balija Upendra,Brajesh Kumar Panigrahi,Gudlavalleti Deepak Kumar,Brajesh Kumar Panigrahi,TO BE ANNOUNCED,Pavan Kumar P",0
2398,"ME F219","MANUFACTURING PROCESSES","N SURESH KUMAR REDDY,Petla Sivateja,Prabakaran Saravanan,Srinivasa Murali Kartheek S,N Suresh Kumar Reddy,Ankit Sharma,Petla Sivateja,Srinivasa Murali Kartheek S,N Suresh Kumar Reddy,Ankit Sharma,Prabakaran Saravanan,Jose Santo,Prabakaran Saravanan",0
2430,"ME F220","HEAT TRANSFER","SATISH K DUBEY,J Murali Mohan,M Srinivas,Sunkara Prudhvi Raj,M Srinivas,B Sravya,Shaik Gouse Ahammad,Shaik Gouse Ahammad,Satish K Dubey,J Murali Mohan,Satish K Dubey,Sunkara Prudhvi Raj,Satish K Dubey",0
2399,"ME F221","MECHANISMS AND MACHINES","YV DASESWARA RAO,Brajesh Kumar Panigrahi,YV Daseswara Rao,Brajesh Kumar Panigrahi,George Yuvaraj",0
1263,"ME F241","MACHINE DESIGN & DRAWING","NITIN RAMESH K,P Sandeep,Nitin Ramesh K",0
1264,"ME F242","IC ENGINES","S S DESHMUKH,S S Deshmukh",0
1265,"ME F243","PRODUCTION TECHNIQUES I","N SURESH KUMAR REDDY,Petla Sivateja,Prabakaran Saravanan,Srinivasa Murali Kartheek S,N Suresh Kumar Reddy,Ankit Sharma,Petla Sivateja,Srinivasa Murali Kartheek S,N Suresh Kumar Reddy,Ankit Sharma,Prabakaran Saravanan,Jose Santo,Prabakaran Saravanan",0
1266,"ME F244","KIN & DYN OF MACHINES","YV DASESWARA RAO,Brajesh Kumar Panigrahi,YV Daseswara Rao,Brajesh Kumar Panigrahi,George Yuvaraj",0
1663,"ME F266","STUDY PROJECT","ABHISHEK SARKAR",0
2406,"ME F318","COMPUTER-AIDED DESIGN","SP REGALLA,Gaurav Sharma,SP Regalla,Suswanth Poluru,TO BE ANNOUNCED,TO BE ANNOUNCED,TO BE ANNOUNCED,Veeraiahgari Vamshi,SP Regalla,Gaurav Sharma,SP Regalla,Suswanth Poluru,SP Regalla,Gudlavalleti Deepak Kumar,SP Regalla",0
2407,"ME F319","VIBRATIONS AND CONTROL","G R SABAREESH,Arshad Javed,Kalyani Panigrahi,G R Sabareesh,Pichika S V V S Narayana,G R Sabareesh,Shaik Ayub Mohiddin,G R Sabareesh,Aarjoo Jaimin,G R Sabareesh",0
2408,"ME F320","ENGINEERING OPTIMIZATION","AMIT KUMAR GUPTA,Vardhanapu Muralidhar,Amit Kumar Gupta,TO BE ANNOUNCED,Amit Kumar Gupta,Kolla Lakshman Rao,Amit Kumar Gupta,TO BE ANNOUNCED,Amit Kumar Gupta",0
1270,"ME F341","PRIMEMOVERS & FLUID MACH","JEEVAN JAIDI,Kandula Uday Kumar Reddy,Santanu Prasad Datta,G Prashanth Kumar Reddy,Mrinal Ketan Jagirdar,Bagadi Ramana Murthy,Pardha Saradhi Gurugubelli,Kandula Uday Kumar Reddy,Jeevan Jaidi,G Prashanth Kumar Reddy,Jeevan Jaidi,Bagadi Ramana Murthy,Mrinal Ketan Jagirdar,TO BE ANNOUNCED,Mrinal Ketan Jagirdar",0
1272,"ME F342","COMPUTER AIDED DESIGN","SP REGALLA,Gaurav Sharma,SP Regalla,Suswanth Poluru,TO BE ANNOUNCED,TO BE ANNOUNCED,TO BE ANNOUNCED,Veeraiahgari Vamshi,SP Regalla,Gaurav Sharma,SP Regalla,Suswanth Poluru,SP Regalla,Gudlavalleti Deepak Kumar,SP Regalla",0
1271,"ME F343","MECHANICAL VIBRATIONS","G R SABAREESH,Arshad Javed,Kalyani Panigrahi,G R Sabareesh,Pichika S V V S Narayana,G R Sabareesh,Shaik Ayub Mohiddin,G R Sabareesh,Aarjoo Jaimin,G R Sabareesh",0
1273,"ME F344","ENGINEERING OPTIMIZATION","AMIT KUMAR GUPTA,Vardhanapu Muralidhar,Amit Kumar Gupta,TO BE ANNOUNCED,Amit Kumar Gupta,Kolla Lakshman Rao,Amit Kumar Gupta,TO BE ANNOUNCED,Amit Kumar Gupta",0
1680,"ME F366","LABORATORY PROJECT","PAVAN KUMAR P",0
1748,"ME F367","LABORATORY PROJECT","PAVAN KUMAR P",0
1697,"ME F376","DESIGN PROJECT","RAVI SHANKER VIDYARTH",0
1764,"ME F377","DESIGN PROJECT","RAVI SHANKER VIDYARTH",0
1810,"ME F423","MICRO-FLUIDICS & ITS APP","SATISH K DUBEY,Sanket Goel,Satish K Dubey,Sangam Srikanth",0
2309,"ME F424","ENERGY MANAGEMENT","S S DESHMUKH",0
1868,"ME F484","AUTOMOTIVE TECHNOLOGY","SUPRADEEPAN K",0
322,"ME G512","FINITE ELEMENT METHOD","PARDHA SARADHI GURUG,Pardha Saradhi Gurugubelli",0
410,"ME G515","COMPUT FLUID DYNAMICS","KRC MURTHY,KRC Murthy,Supradeepan K",0
2087,"ME G539","COMP INTEGRATED MANUFACT","KURRA SURESH,Kurra Suresh,Wankhede Pankaj Rambhau,Kurra Suresh,Wankhede Pankaj Rambhau",0
266,"ME G611","COMP AIDED ANAL & DESIGN","KURRA SURESH,Kurra Suresh",0
739,"ME G631","ADVANCED HEAT TRANSFER","SANTANU PRASAD DATTA,Santanu Prasad Datta,N Jalaiah,Santanu Prasad Datta,N Jalaiah",0
500,"MEL G623","ADVANCED VLSI DESIGN","SURYA SHANKAR DAN,Surya Shankar Dan,Soumi Saha",0
224,"MEL G632","ANALOG IC DESIGN","PARIKSHIT PARSHURAM S,Arun Mohan B,Parikshit Parshuram Sahatiy",0
484,"MEL G641","CAD FOR IC DESIGN","S K CHATTERJEE,S K Chatterjee,TO BE ANNOUNCED",0
817,"MEL G642","VLSI ARCHITECTURE","S GURUNARAYANAN,S Gurunarayanan,G Sahith",0
1664,"MF F266","STUDY PROJECT","ABHISHEK SARKAR",0
1402,"MF F311","MECHATRONICS & AUTOMAT","ARSHAD JAVED,Arshad Javed,Kundan Kumar Singh",0
1681,"MF F366","LABORATORY PROJECT","PAVAN KUMAR P",0
1749,"MF F367","LABORATORY PROJECT","PAVAN KUMAR P",0
1698,"MF F376","DESIGN PROJECT","RAVI SHANKER VIDYARTH",0
1765,"MF F377","DESIGN PROJECT","RAVI SHANKER VIDYARTH",0
1418,"MF F421","SUPPLY CHAIN MANAGEMENT","C P KIRAN",0
1884,"MF F485","SUSTAINABLE MANUFACTURING","KUNDAN KUMAR SINGH",0
1024,"MGTS F211","PRINCIPLES OF MANAGEMENT","SWATI ALOK,Swati Alok,Navya Kumar",0
369,"MSE G511","MECHATRONICS","ARSHAD JAVED,Arshad Javed,Kundan Kumar Singh",0
389,"MSE G512","MANUFACT PLANNING & CONT","AMRITHA PRIYADARSHINI,Sreejith S,Amritha Priyadarshini",0
719,"MSE G531","CONCURRENT ENGINEERING","PIYUSH CHANDRA VERMA,Piyush Chandra Verma,Ashish Saurabh",0
1932,"MST F332","MATERIALS PROCESSING","KARTHIK CHETAN,Prabakaran Saravanan",0
2066,"MST G522","ADVANCED COMPOSITES","PAVAN KUMAR P,Pavan Kumar P",0
1291,"PHA F241","PHARMACEUTICAL CHEMISTRY","D SRIRAM,D Sriram,Routholla Ganesh,Srashti Gopal Goyal,Sravani Pulya,D Sriram",0
1292,"PHA F242","BIOLOGICAL CHEMISTRY","BALRAM GHOSH,Balram Ghosh,Aparajita Ghosh,Pravesh Sharma,Tarun,Balram Ghosh,Aparajita Ghosh,Pravesh Sharma,Tarun,Balram Ghosh",0
1665,"PHA F266","STUDY PROJECT","SRINIVAS PRASAD K",0
1299,"PHA F313","INSTRU METHODS OF ANAL","A SAJELI BEGUM,A Sajeli Begum,B Sony Priyanka,Ch Sai Sanjay,Pragya Paramita Pal,Shreya Shashank Chauhan,Velmurugan K,A Sajeli Begum,Ch Sai Sanjay,Deepanjan Datta,Pragya Paramita Pal,Shreya Shashank Chauhan,Velmurugan K,A Sajeli Begum",0
1296,"PHA F341","PHARMACOLOGY II","ONKAR KULKARNI,S Kavitha,Lavanya S,Onkar Kulkarni,S Kavitha,Onkar Kulkarni",0
1298,"PHA F342","MEDICINAL CHEMISTRY II","P YOGEESWARI,P Yogeeswari,D Deepika,Purbali Chakraborty,P Yogeeswari,Dipika Rani Sahu,Purbali Chakraborty,P Yogeeswari",0
1301,"PHA F343","FORENSIC PHARMACY","BALRAM GHOSH,Balram Ghosh,Abhijeet Rajendra Joshi",0
1302,"PHA F344","NATURAL DRUGS","A SAJELI BEGUM,A Sajeli Begum,Bollareddy Srivarsha Reddy,P. S Lakshmi Soukya,Samrun Nessa,A Sajeli Begum,Bollareddy Srivarsha Reddy,P. S Lakshmi Soukya,Samrun Nessa,A Sajeli Begum",0
1682,"PHA F366","LABORATORY PROJECT","SRINIVAS PRASAD K",0
1750,"PHA F367","LABORATORY PROJECT","SRINIVAS PRASAD K",0
1699,"PHA F376","DESIGN PROJECT","SRINIVAS PRASAD K",0
1766,"PHA F377","DESIGN PROJECT","SRINIVAS PRASAD K",0
1303,"PHA F413","PHARMA MANG & QUAL CONTR","V V KRISHNA VENUGANTI",0
1304,"PHA F414","BIOPHARMACEUTICS","NIRMAL J",0
1305,"PHA F415","PATHOPHYSIOLOGY","SRINIVAS PRASAD K",0
1307,"PHA F417","PHARMACOECONOMICS","ABHIJEET RAJENDRA JOS",0
1724,"PHA F491","SPECIAL PROJECT","SRINIVAS PRASAD K",0
351,"PHA G532","Q A & REGULATORY AFFAIRS","AKASH C,Panchal Kanan Jayesh Pann,Akash C,Parameswar Patra",0
55,"PHA G543","CLINICAL RESEARCH","ARTI DHAR",0
2292,"PHA G546","PHARMACEUTICAL BIO STATISTICS","R PUNNA RAO",0
955,"PHA G613","PHARMACEUTICAL BIOTECH","NIRMAL J,Shubham Prakash Debaje,Nirmal J,Manisha Malani,Raghuraman Manimaran",0
721,"PHA G632","DOSAGE FORM DESIGN","R PUNNA RAO,R Punna Rao,Mohd Shareef Khan,Radhika Rajiv Mahajan,Swagata Sinha",0
1482,"PHY F241","ELECTROMAGNETIC THEORY II","SARMISTHA BANIK,Sarmistha Banik",0
1483,"PHY F242","QUANTUM MECHANICS I","K V SHIV CHAITANYA,K V Shiv Chaitanya",0
1484,"PHY F243","MATHEMATICAL METHODS OF PHYSICS","SWASTIK BHATTACHARYA,Swastik Bhattacharya",0
1485,"PHY F244","MODERN PHYSICS LAB","VSN MURTHY,Geetika Sahu,Subash N. Karbelkar,Akhil U Nair",0
1666,"PHY F266","STUDY PROJECT","PRASANT SAMANTRAY",0
1494,"PHY F315","THEORY OF RELATIVITY","RAHUL NIGAM",0
1489,"PHY F341","SOLID STATE PHYSICS","ARAVINDA N RAGHAVAN,Aravinda N Raghavan",0
1490,"PHY F342","ATOMIC & MOLECULAR PHY","ASRARUL HAQUE,Asrarul Haque",0
1491,"PHY F343","NUCLEAR & PARTICLE PHY","RAHUL NIGAM,Sarmistha Banik,Rahul Nigam,Sarmistha Banik",0
1492,"PHY F344","ADVANCED PHYSICS LAB","B HARIHARA  VENKATARA,Kannan Ramaswamy,Nilofar Naaz,Priyanka Mitra",0
1683,"PHY F366","LABORATORY PROJECT","VSN MURTHY",0
1751,"PHY F367","LABORATORY PROJECT","VSN MURTHY",0
1700,"PHY F376","DESIGN PROJECT","B HARIHARA  VENKATARA",0
1767,"PHY F377","DESIGN PROJECT","B HARIHARA  VENKATARA",0
2136,"PHY F379","THIN FILM TECHNOLOGY","VSN MURTHY,B Harihara  Venkataraman",0
1495,"PHY F412","INTRO TO QUAN FIELD THEO","PRASANT SAMANTRAY",0
1504,"PHY F420","QUANTUM OPTICS","ARANYA BHUTI BHATTACH",0
1508,"PHY F425","ADV MATH METHODS OF PHY","SUBASH N. KARBELKAR",0
2274,"PHY F431","GEOMETRICAL METHODS IN","SASHIDEEP GUTTI",0
