com_code,course_code,course_name,instructors,hits
2282,"CE F321","ENGINEERING HYDROLOGY","K SRINIVASA RAJU,K Srinivasa Raju,Vogeti Rishith Kumar,K Srinivasa Raju,Vogeti Rishith Kumar",0
1199,"CE F342","WATER & WASTEWATER TREAT","MURARI R R VARMA,Sandra Maria Cherian,Jittin Varghese,Nagalapalli Satish,Murari R R Varma,Murari R R Varma",0
1200,"CE F343","DESIGN OF STEEL STRUCTURES","PN RAO,PN Rao,PN Rao",0
1667,"CE F366","LABORATORY PROJECT","CHANDU PARIMI",0
1737,"CE F367","LABORATORY PROJECT","CHANDU PARIMI",0
1686,"CE F376","DESIGN PROJECT","A VASAN",0
1753,"CE F377","DESIGN PROJECT","A VASAN",0
1223,"CE F415","DES OF PREST CONC STRUCT","BAHURUDEEN A",0
1230,"CE F416","COMP APPL IN CIVIL ENGG","ARKAMITRA KAR,Arkamitra Kar",0
1218,"CE F425","AIRPORT RAIL & WATERWAYS","V VINAYAKA RAM",0
1221,"CE F426","GEOSYN & REIN SOIL STR","ANASUA GUHARAY",0
1219,"CE F432","STRUCTURAL DYNAMICS","CHANDU PARIMI",0
1234,"CE F435","INTRODUCTION TO FEM","PN RAO",0
79,"CE G513","ADVANCED COMPU TECH","RAGHU PISKA,Raghu Piska",0
230,"CE G514","STRUCTURAL OPTIMIZATION","A VASAN",0
256,"CE G518","PAVEMENT ANALYSIS & DES","V VINAYAKA RAM,V Vinayaka Ram,Md Ikramullah Khan",0
2199,"CE G562","ADVANCED CONCRETE TECHNOLOGY","ARKAMITRA KAR,Arkamitra Kar",0
2338,"CE G566","PUBLIC TRANSPORTATION","PRASANTA KUMAR SAHU,Prasanta Kumar Sahu",0
2342,"CE G570","HIGHWAY CONSTRUCTION TECHNOLOG","SRIDHAR RAJU,Sridhar Raju",0
2345,"CE G573","ROAD SAFETY AND ACCIDENT ANALYSIS","BANDHAN BANDHU MAJU,Bandhan Bandhu Majumdar",0
2347,"CE G575","FREIGHT TRANSPORTATION","PRASANTA KUMAR SAHU,Prasanta Kumar Sahu",0
688,"CE G613","ADV CONCRETE STRUCTURES","BAHURUDEEN A,Bahurudeen A",0
108,"CE G615","EARTHQUAKE ENGINEERING","MOHAN S C,Mohan S C,Ch Bala Venkata Hareen",0
346,"CE G616","BRIDGE ENGINEERING","SHIVANG SHEKHAR,Shivang Shekhar",0
1180,"CHE F241","HEAT TRANSFER","AFKHAM MIR,Afkham Mir",0
1181,"CHE F242","NUM METHOD FOR CHEM ENGG","ARNAB DUTTA,Arnab Dutta",0
1182,"CHE F243","MATERIAL SCIENCE & ENGINEERING","D PURNIMA,D Purnima",0
1183,"CHE F244","SEPARATION PROCESSES I","SATYAPAUL SINGH AMART,Satyapaul Singh Amarthaluri",0
1653,"CHE F266","STUDY PROJECT","IYMAN ABRAR",0
1188,"CHE F341","CHEMICAL ENGG LAB II","IYMAN ABRAR,Vuchuru Kalyan,Pankaj Kumar,P Saikiran",0
1189,"CHE F342","PROCESS DYN & CONTROL","JAIDEEP CHATTERJEE,P Pradeep Reddy,Jaideep Chatterjee",0
1190,"CHE F343","PROCESS DES PRINCIPLE II","PANKAJ KUMAR,Yaddanapudi Varun,Pankaj Kumar",0
1668,"CHE F366","LABORATORY PROJECT","IYMAN ABRAR",0
1738,"CHE F367","LABORATORY PROJECT","IYMAN ABRAR",0
1687,"CHE F376","DESIGN PROJECT","IYMAN ABRAR",0
1754,"CHE F377","DESIGN PROJECT","IYMAN ABRAR",0
1213,"CHE F418","MODEL & SIMU IN CHE ENGG","VIKRANT KUMAR S",0
1203,"CHE F419","CHEMICAL PROCESS TECH","RAMESH BABU A",0
1202,"CHE F433","CORROSION ENGINEERING","RAMENDRA KISHOR PAL,",0
2263,"CHE F498","COLLOIDS AND INTERFACE ENGINEERING","NANDINI BHANDARU",0
2031,"CHE G532","ALTERNATE ENER RESOURCES","IYMAN ABRAR,Iyman Abrar",0
2146,"CHE G552","ADV TRANSPORT PHENOMENA","VIKRANT KUMAR S",0
729,"CHE G641","REACTION ENGINEERING","SRIKANTA DINDA,Srikanta Dinda,Suresh Kanuri",0
1569,"CHEM F223","COLLOID & SURFACE CHEM","RAMAKRISHNAN G,Mariya Midhu Francis",0
1554,"CHEM F241","INORGANIC CHEMISTRY II","SOUNAK ROY,Himanshu Aggarwal,Sounak Roy,Himanshu Aggarwal,Meenu P C",0
1555,"CHEM F242","CHEMICAL EXPER I","ARIJIT MUKHERJEE,Anupam Bhattacharya,B Aniket Diliprao,D Ramaiah,Sruthi Peesapati",0
