,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1113,BIO F213,,CELL BIOLOGY,,3 ,,,-,,3 ,,1,,K  PRANAV NARAYAN,,F102,,T Th S,5,,,,,,,,,,,16/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Tutorial,,,,,,,,,,,Dwaipayan Bhattacharya,,F102,,Th,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1115,BIO F214,,INTEGRATED BIOLOGY,,3 ,,,-,,3 ,,1,,KIRTIMAAN SYAL,,F102,,M W F,9,,,,,,,,,,,22/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Tutorial,,,,,,,,,,,Neethu R S,,F102,,S,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1941,BIO F216,,WATER SANITATION AND SOLID WASTE MANAGEMENT,,3 ,,,-,,3 ,,1,,K  PRANAV NARAYAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2264,BIO F217,,LAB FOR WATER SANITATION & SOLID WASTE MANAGEMENT,,1 ,,,2 ,,3 ,,1,,P SANKAR GANESH,,F102,,S,6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Practical,,,,,,,,,,,Anand N,,LAB,,Th,8 9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Anand N,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Shivashis Mund,,LAB,,S,7 8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1651,BIO F266,,STUDY PROJECT,,-,,,-,,3 ,,1,,K  PRANAV NARAYAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1427,BIO F311,,RECOMBINANT DNA TECH,,3 ,,,-,,3 ,,1,,VIDYA RAJESH,,F102,,M W F,4,,,,,,,,,,,24/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Tutorial,,,,,,,,,,,Sumana Choudhury,,F102,,M,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1428,BIO F312,,PLANT PHYSIOLOGY,,3 ,,,-,,3 ,,1,,SRIDEV MOHAPATRA,,F102,,M W F,5,,,,,,,,,,,14/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Tutorial,,,,,,,,,,,Raja Gopalan N S,,F102,,W,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1429,BIO F313,,ANIMAL PHYSIOLOGY,,3 ,,,-,,3 ,,1,,NAGA MOHAN K,,F102,,T Th S,4,,,,,,,,,,,18/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Tutorial,,,,,,,,,,,Anne Lohitha Alias Anuhya,,F102,,F,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1650,BIO F366,,LABORATORY PROJECT,,-,,,-,,3 ,,1,,K  PRANAV NARAYAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1736,BIO F367,,LABORATORY PROJECT,,-,,,-,,3 ,,1,,K  PRANAV NARAYAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1685,BIO F376,,DESIGN PROJECT,,-,,,-,,3 ,,1,,K  PRANAV NARAYAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1752,BIO F377,,DESIGN PROJECT,,-,,,-,,3 ,,1,,K  PRANAV NARAYAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1434,BIO F418,,GENETIC ENGINEERING TECH,,1 ,,,3 ,,4 ,,1,,NISHITH GUPTA,,F102,,M,7,,,,,,,,,,,21/12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,                    Practical,,,,,,,,,,,Nishith Gupta,,LAB,,T Th,7 8 9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
